x,y
732765.6837,6917568.4225
732745.4147,6917581.8194
733437.5044,6919633.5861
733415.1646,6919632.1752
733319.3661,6927712.7503
733307.5539,6927708.8699
730979.5263,6933146.9397
730954.4273,6933138.1464
729020.7094,6938773.9931
732195.7680,6957428.4806
732372.7315,6955234.6655
732365.3440,6955228.1878
742178.6161,6943881.1477
744519.1799,6939477.6557
744520.1406,6939463.2365
744520.1475,6939463.1333
742852.3557,6943568.2628
742839.3672,6943547.9093
742831.4112,6943551.5221
742478.8063,6943711.6363
742438.3240,6943730.0189
742419.4777,6943738.5768
742402.0373,6943746.4964
742411.3423,6943773.0695
742101.4818,6943907.2320
742102.5517,6943938.7840
742096.7107,6943944.2753
742084.7300,6943922.6149
742076.2776,6943930.3766
742088.9597,6943951.5624
751320.0103,6960816.6049
751307.8517,6960816.1307
747780.0506,6957681.0354
747784.9218,6957698.6970
747788.4377,6957711.4446
745617.0929,6955561.4478
745602.3714,6955570.8079
745765.9641,6951979.9325
745755.1549,6951971.6019
745572.8950,6947717.9997
745563.4385,6947732.5503
745551.9708,6947750.1956
746701.8106,6949481.9927
746693.6923,6949485.4012
746685.3859,6949488.8887
745333.6648,6947265.2604
745304.3376,6947270.2543
744490.6807,6946967.0523
744482.5050,6946973.4659
744432.2537,6946945.3237
744463.7853,6946954.9127
744461.6211,6946962.0573
744461.1319,6946963.6721
744452.9199,6946950.0085
744452.0617,6946949.6212
744448.7318,6946957.9901
744447.7004,6946960.5825
744437.3393,6946942.9760
744436.8167,6946944.6340
744432.3039,6946958.9513
744431.7824,6946958.8960
740813.3655,6945196.7441
741204.0628,6944882.4899
741190.4279,6944886.5986
741181.4016,6944857.2114
741168.5132,6944860.9850
740843.7488,6944961.0996
740856.5106,6944959.2565
740854.5171,6944930.5671
740841.3243,6944932.3547
739844.2480,6944957.5932
739828.3031,6944955.4847
739867.0680,6944996.7857
739866.7682,6944996.7420
739847.3556,6944993.9141
739776.4329,6945451.3393
739441.2712,6945139.9958
739423.6675,6945147.1528
739415.3708,6945150.5258
739352.5041,6944837.6756
739353.5769,6944852.5671
738803.1386,6944443.1888
738802.3651,6944443.9838
738790.5449,6944439.5833
738790.7587,6944455.9126
738782.9628,6944452.7105
737465.5664,6944802.1508
737464.7044,6944807.9460
737444.2170,6944808.0548
737445.1729,6944802.3316
737511.5236,6944493.1614
737513.1128,6944482.4767
737497.9113,6944486.5824
737496.1933,6944496.8686
737029.4714,6944677.3639
737021.2637,6944669.3187
736887.1625,6944835.8933
736894.1411,6944834.3976
732199.2763,6957420.2512
731587.0580,6956086.9972
731577.9348,6956081.1079
733374.9406,6953546.8801
733363.9897,6953545.2783
734519.1756,6951753.4668
734511.4759,6951744.6939
735072.2706,6950078.0669
735061.1797,6950077.6519
735549.3036,6948628.6461
735563.0792,6948629.6797
735566.9491,6948613.4746
735553.8627,6948612.0909
735601.8205,6947864.1820
735590.5388,6947856.8036
735605.4185,6947786.8700
735593.6967,6947779.2141
736336.1762,6945725.9790
736337.4499,6945740.3537
736326.8042,6945746.3549
736327.5387,6945730.8524
736316.0473,6945737.3360
736314.8813,6945753.0760
736306.0584,6945758.0497
736305.4160,6945743.3344
735648.6262,6946128.6559
735645.5249,6946115.6558
735300.2505,6946310.4654
735304.1627,6946322.8361
735293.2208,6946329.0042
735289.3022,6946316.6426
735050.1955,6945562.3585
735062.7251,6945559.3927
734725.7245,6944921.3769
734719.3817,6944931.7404
733429.0775,6944190.2038
733419.0508,6944199.2088
732478.1034,6943171.2171
732468.6915,6943180.2059
731170.5938,6941770.1958
731163.6072,6941780.8565
730210.7824,6940566.0668
730202.3491,6940575.9310
729619.0418,6939720.9501
729636.9762,6939717.5672
729047.1458,6938772.6647
729021.1604,6938777.8990
729295.3074,6937856.4942
729284.5095,6937845.4912
729268.9273,6937928.7696
729257.6363,6937918.8366
729928.5470,6936051.5430
729914.6661,6936045.1300
730716.6416,6933868.0499
730694.7711,6933859.3638
