x,y
732758.3350,6917568.1266
732738.0660,6917581.5234
733430.1557,6919633.2902
733407.8159,6919631.8793
733312.0175,6927712.4544
733300.2053,6927708.5740
730972.1776,6933146.6438
730947.0786,6933137.8505
729013.3608,6938773.6972
732188.4194,6957428.1847
732365.3829,6955234.3696
732357.9954,6955227.8919
742171.2674,6943880.8518
744511.8312,6939477.3598
744512.7920,6939462.9406
744512.7989,6939462.8374
742845.0071,6943567.9669
742832.0186,6943547.6134
742824.0626,6943551.2262
742471.4576,6943711.3404
742430.9754,6943729.7230
742412.1290,6943738.2809
742394.6886,6943746.2005
742403.9937,6943772.7736
742094.1332,6943906.9361
742095.2030,6943938.4881
742089.3621,6943943.9794
742077.3814,6943922.3190
742068.9290,6943930.0807
742081.6111,6943951.2665
751312.6616,6960816.3090
751300.5030,6960815.8348
747772.7019,6957680.7395
747777.5732,6957698.4011
747781.0891,6957711.1487
745609.7443,6955561.1519
745595.0227,6955570.5120
745758.6155,6951979.6366
745747.8063,6951971.3060
745565.5464,6947717.7038
745556.0899,6947732.2544
745544.6221,6947749.8997
746694.4620,6949481.6968
746686.3436,6949485.1053
746678.0373,6949488.5928
745326.3162,6947264.9645
745296.9890,6947269.9584
744483.3321,6946966.7564
744475.1564,6946973.1700
744424.9050,6946945.0278
744456.4366,6946954.6168
744454.2724,6946961.7614
744453.7833,6946963.3762
744445.5713,6946949.7126
744444.7130,6946949.3253
744441.3832,6946957.6942
744440.3517,6946960.2866
744429.9907,6946942.6801
744429.4681,6946944.3381
744424.9553,6946958.6554
744424.4338,6946958.6001
740806.0169,6945196.4482
741196.7141,6944882.1940
741183.0793,6944886.3027
741174.0529,6944856.9155
741161.1645,6944860.6891
740836.4002,6944960.8037
740849.1620,6944958.9606
740847.1685,6944930.2712
740833.9756,6944932.0588
739836.8994,6944957.2973
739820.9544,6944955.1888
739859.7194,6944996.4898
739859.4196,6944996.4461
739840.0070,6944993.6182
739769.0842,6945451.0434
739433.9226,6945139.6999
739416.3188,6945146.8569
739408.0222,6945150.2299
739345.1555,6944837.3797
739346.2283,6944852.2712
738795.7900,6944442.8929
738795.0164,6944443.6879
738783.1962,6944439.2874
738783.4101,6944455.6167
738775.6141,6944452.4146
737458.2177,6944801.8549
737457.3558,6944807.6501
737436.8683,6944807.7589
737437.8242,6944802.0357
737504.1750,6944492.8655
737505.7642,6944482.1808
737490.5627,6944486.2865
737488.8446,6944496.5727
737022.1228,6944677.0680
737013.9150,6944669.0228
736879.8139,6944835.5974
736886.7925,6944834.1017
732191.9277,6957419.9553
731579.7094,6956086.7013
731570.5861,6956080.8120
733367.5920,6953546.5842
733356.6411,6953544.9824
734511.8270,6951753.1709
734504.1273,6951744.3980
735064.9220,6950077.7710
735053.8311,6950077.3560
735541.9550,6948628.3502
735555.7305,6948629.3838
735559.6005,6948613.1787
735546.5141,6948611.7950
735594.4719,6947863.8861
735583.1901,6947856.5077
735598.0699,6947786.5741
735586.3481,6947778.9182
736328.8276,6945725.6831
736330.1013,6945740.0578
736319.4556,6945746.0590
736320.1901,6945730.5565
736308.6987,6945737.0401
736307.5327,6945752.7801
736298.7097,6945757.7538
736298.0674,6945743.0385
735641.2776,6946128.3600
735638.1763,6946115.3599
735292.9018,6946310.1695
735296.8140,6946322.5402
735285.8722,6946328.7083
735281.9536,6946316.3467
735042.8469,6945562.0626
735055.3765,6945559.0968
734718.3758,6944921.0810
734712.0331,6944931.4445
733421.7289,6944189.9079
733411.7021,6944198.9129
732470.7548,6943170.9212
732461.3429,6943179.9100
731163.2452,6941769.8999
731156.2586,6941780.5606
730203.4337,6940565.7709
730195.0004,6940575.6350
729611.6932,6939720.6542
729629.6275,6939717.2713
729039.7972,6938772.3688
729013.8117,6938777.6031
729287.9588,6937856.1983
729277.1608,6937845.1953
729261.5787,6937928.4737
729250.2877,6937918.5407
729921.1984,6936051.2471
729907.3174,6936044.8341
730709.2929,6933867.7540
730687.4224,6933859.0679
